,title,artist
367,Brown Eyed Handsome Man,Chuck Berry
368,Wonderful World,Sam Cooke
369,Marquee Moon,Television
370,I Cant Explain,The Who
371,The Wind Cries Mary,The Jimi Hendrix Experience
372,Im a Man,Bo Diddley
373,Personal Jesus,Depeche Mode
374,White Room,Cream
375,How Deep Is Your Love,Bee Gees
376,Unchained Melody,The Righteous Brothers
377,Highway 61 Revisited,Bob Dylan
378,The Letter,The Box Tops
379,Complete Control,The Clash
380,All You Need is Love,The Beatles
381,Killing Me Softly With His Song,Roberta Flack
382,Got My Mojo Working,Muddy Waters
383,Nowhere to Run,Martha and the Vandellas
384,Little Wing,The Jimi Hendrix Experience
385,Sweet Dreams (Are Made of This),Eurythmics
386,Bad Moon Rising,Creedence Clearwater Revival
387,Watching the Detectives,Elvis Costello
388,Tears in Heaven,Eric Clapton
389,All Shook Up,Elvis Presley
390,The Great Pretender,The Platters
391,The Loco-Motion,Little Eva
392,Spanish Harlem,Ben E. King
393,That Lady (Part 1 and 2),The Isley Brothers
394,Candle in the Wind,Elton John
395,California Love,Dr. Dre and 2Pac
396,La Bamba,Ritchie Valens
397,Piece of My Heart,Big Brother and the Holding Company
398,Jim Dandy,Lavern Baker
399,Runaround Sue,Dion
400,I Shot the Sheriff,Bob Marley and the Wailers
401,Come Go With Me,The Dell-Vikings
402,In Da Club,50 Cent
403,Pink Houses,John Cougar Mellencamp
404,Push It,Salt 'n Pepa
405,I Wanna Be Your Dog,The Stooges
406,Love Me Tender,Elvis Presley
407,Beast of Burden,The Rolling Stones
408,Alone Again Or,Love
409,Mustang Sally,Wilson Pickett
410,Ramble On,Led Zeppelin
411,Midnight Train to Georgia,Gladys Knight and the Pips
412,Aint It a Shame,Fats Domino
413,(White Man) In Hammersmith Palais,The Clash
414,Everybody Needs Somebody to Love,Solomon Burke
415,New Years Day,U2
416,Smoke on the Water,Deep Purple
417,Tumbling Dice,Rolling Stones
418,American Idiot,Green Day
419,William,The Smiths
420,Blue Suede Shoes,Elvis Presley
421,Piano Man,Billy Joel
422,Its Your Thing,The Isley Brothers
423,Nuthin But a G Thang,Dr. Dre
424,Stills and Nash,Crosby
425,Fuck tha Police,N.W.A
426,Juicy,The Notorious B.I.G.
427,The Boys of Summer,Don Henley
428,Cant Help Myself,The Four Tops
429,Young Blood,The Coasters
430,The Girl Cant Help It,Little Richard
431,Ode to Billie Joe,Bobbie Gentry
432,I Feel Love,Donna Summer
433,Monkey Gone to Heaven,Pixies
434,Sweet Emotion,Aerosmith
435,In Bloom,Nirvana
436,Weve Only Just Begun,Carpenters
437,Visions of Johanna,Bob Dylan
438,Umbrella,Rihanna Featuring Jay-Z
439,Cmon Everybody,Eddie Cochran
440,Thank You (Falettinme Be Mice Elf Agin),Sly and the Family Stone
441,Tonights the Night,The Shirelles
442,Enter Sandman,Metallica
443,Sweet Home Alabama,Lynyrd Skynyrd
444,Thirteen,Big Star
445,(Dont Fear) the Reaper,Blue Ãyster Cult
446,Remember (Walkin in the Sand),The Shangri-Las
447,Cant Help Falling in Love,Elvis Presley
448,O-o-h Child,The Five Stairsteps
449,Summer in the City,The Lovin' Spoonful
450,Shop Around,Smokey Robinson and the Miracles
451,Buddy Holly,Weezer
453,The Rising,Bruce Springsteen
454,Running on Empty,Jackson Browne
455,Brown Sugar,The Rolling Stones
456,Ignition (Remix),R. Kelly
457,Time to Pretend,MGMT
458,I Will Survive,Gloria Gaynor
459,I Love Rock N Roll,Joan Jett and the Blackhearts
460,Clocks,Coldplay
461,Under the Boardwalk,The Drifters
462,Just Like Heaven,The Cure
463,Im Eighteen,Alice Cooper
464,Young Americans,David Bowie
465,Lady Marmalade,LaBelle
466,Cry Me a River,Justin Timberlake
467,White Rabbit,Jefferson Airplane
468,Since U Been Gone,Kelly Clarkson
469,Super Freak,Rick James
470,Sabotage,Beastie Boys
471,I Want to Know What Love Is,Foreigner
472,Last Nite,The Strokes
473,How Soon Is Now?,The Smiths
474,Do Right Woman â Do Right Man,Aretha Franklin
475,Where Did Our Love Go,The Supremes
476,Into the Mystic,Van Morrison
477,Welcome to the Jungle,Guns N' Roses
478,Runaway,Del Shannon
479,Surrender,Cheap Trick
480,Standing in the Shadows of Love,The Four Tops
481,Rain,The Beatles
482,Respect Yourself,The Staple Singers
483,Big Pimpin,Jay-Z Featuring UGK
484,Get Ur Freak On,Missy Elliott
485,Rollin Stone,Muddy Waters
486,Kiss,Prince and the Revolution
487,Soul Man,Sam and Dave
488,All Apologies,Nirvana
489,Sheena Is a Punk Rocker,Ramones
490,My Sweet Lord,George Harrison
491,Paradise City,Guns N' Roses
492,Cupid,Sam Cooke
493,The Twist,Chubby Checker
494,Penny Lane,The Beatles
495,Heroin,The Velvet Underground
496,Leader of the Pack,The Shangri-Las
497,Pressure Drop,Toots and the Maytals
498,Come As You Are,Nirvana
499,I Got You Babe,Sonny and Cher
